Department;GEO;Role;Willing to relocate;Percent remote;Last evaluation;Number of projects;Average montly hours;Years in the company;Work accidents;Left company;Promotion in the last 5 years;Salary;Gender;LinkedIn hits
Human Resources;France;Senior Manager;0;0.4;0.55;5;262;3;0;0;0;medium;F;63
IT;China;Senior Manager;1;0.4;0.55;5;250;3;1;0;0;medium;F;17
Warehouse;Japan;Senior Manager;1;0.4;0.55;3;233;3;0;0;0;medium;F;24
Operations;UK;Senior Manager;0;0.4;0.55;3;226;4;0;0;0;low;F;61
Sales;Colombia;Senior Manager;1;0.4;0.55;3;245;2;0;0;0;medium;M;1
Finance;US;Senior Manager;0;0.4;0.55;4;262;3;1;0;0;high;F;57
Human Resources;France;Senior Manager;1;0.4;0.55;3;178;5;0;0;0;low;M;29
IT;China;Senior Manager;1;0.4;0.55;4;266;3;0;0;0;low;F;38
Warehouse;China;Senior Manager;1;0.4;0.55;3;183;4;0;0;0;low;F;18
Operations;UK;Senior Manager;0;0.4;0.55;4;218;3;0;0;0;medium;F;51
Sales;France;Senior Manager;1;0.4;0.55;3;139;2;0;0;0;medium;F;28
Finance;China;Senior Manager;0;0.4;0.55;4;183;3;0;0;0;low;F;22
Human Resources;France;Manager;0;0.4;0.55;5;192;3;0;0;0;medium;F;28
IT;US;Manager;1;0.4;0.55;4;189;2;0;0;0;low;F;32
Warehouse;Japan;Manager;1;0.4;0.55;4;158;5;0;0;0;medium;M;57
Operations;China;Manager;1;0.4;0.55;2;188;3;0;0;0;high;F;38
Sales;Korea;Manager;0;0.4;0.55;3;255;3;1;0;0;medium;M;39
Finance;Colombia;Manager;0;0.4;0.55;3;263;3;0;0;0;low;F;3
Human Resources;Australia;Manager;1;0.4;0.55;3;207;2;0;0;0;high;F;11
IT;France;Manager;1;0.4;0.55;4;270;3;1;0;0;medium;F;30
Warehouse;France;Manager;0;0.4;0.55;5;194;3;1;0;0;low;F;59
Operations;Colombia;Manager;1;0.4;0.55;5;207;3;0;0;0;low;F;33
Sales;China;Manager;1;0.4;0.55;3;197;2;0;0;0;medium;F;15
Finance;UK;Manager;1;0.4;0.55;4;211;4;0;0;0;low;M;58
Human Resources;US;Manager;1;0.4;0.55;4;100;4;1;0;0;low;F;33
IT;UK;Manager;0;0.4;0.55;3;260;3;0;0;0;medium;F;13
Warehouse;Japan;Manager;1;0.4;0.55;2;215;6;0;0;0;medium;M;11
Operations;Australia;Manager;0;0.4;0.55;5;239;2;0;0;0;medium;F;48
Sales;UK;Manager;0;0.4;0.55;4;181;5;1;0;0;medium;M;3
Finance;Colombia;Manager;0;0.4;0.55;5;168;2;0;0;0;medium;M;40
Human Resources;US;Manager;1;0.4;0.55;4;211;3;0;0;0;medium;M;55
IT;Turkey;Manager;1;0.4;0.55;3;246;3;0;0;0;medium;M;63
Warehouse;Australia;Manager;1;0.4;0.55;4;258;3;0;0;0;medium;M;2
Operations;UK;Manager;1;0.4;0.55;6;181;3;0;0;0;medium;M;23
Sales;Australia;Level 2-4;0;0.4;0.55;5;121;3;1;0;0;low;F;63
Finance;Turkey;Level 2-4;0;0.4;0.55;5;206;3;0;0;0;low;M;27
Human Resources;UK;Level 2-4;1;0.4;0.55;4;163;2;1;0;0;medium;F;14
IT;Japan;Level 2-4;1;0.4;0.55;4;252;3;0;0;0;medium;M;13
Warehouse;UK;Level 2-4;1;0.4;0.55;3;149;3;0;0;0;low;F;34
Operations;Korea;Level 2-4;1;0.4;0.55;5;204;3;0;0;0;low;M;60
Sales;Turkey;Level 2-4;1;0.4;0.55;3;245;3;0;0;0;medium;M;34
Finance;China;Level 2-4;0;0.4;0.55;3;264;2;0;0;0;medium;F;42
Human Resources;Turkey;Level 2-4;1;0.4;0.55;5;168;4;0;0;0;low;M;18
IT;US;Level 2-4;0;0.4;0.55;4;257;3;0;0;0;low;F;49
Warehouse;Korea;Level 2-4;0;0.4;0.55;4;273;3;1;0;0;medium;F;29
Operations;Korea;Level 2-4;1;0.4;0.55;4;147;3;0;0;0;low;F;60
Sales;Korea;Level 2-4;0;0.4;0.55;4;137;3;1;0;0;medium;M;48
Finance;UK;Level 2-4;0;0.4;0.55;5;242;2;0;0;0;low;M;7
Human Resources;China;Level 2-4;1;0.4;0.55;5;134;3;0;0;0;medium;M;18
IT;Turkey;Level 2-4;0;0.4;0.55;4;169;3;1;0;0;low;M;27
Warehouse;Japan;Level 2-4;1;0.4;0.55;3;201;2;0;0;0;low;M;1
Operations;Australia;Level 2-4;0;0.4;0.55;4;166;3;1;0;0;high;F;26
Sales;China;Level 2-4;0;0.4;0.55;5;264;3;0;0;0;medium;M;5
Finance;France;Level 2-4;1;0.4;0.55;4;268;4;0;0;0;high;F;11
Human Resources;China;Level 2-4;1;0.4;0.55;3;206;4;0;0;0;low;M;18
IT;Japan;Level 2-4;0;0.4;0.55;3;261;3;0;0;0;low;M;63
Warehouse;UK;Level 2-4;1;0.4;0.55;3;97;6;1;0;0;medium;M;41
Operations;UK;Level 2-4;1;0.4;0.55;5;256;3;0;0;0;medium;F;8
Sales;US;Level 2-4;1;0.4;0.55;5;149;4;0;0;0;medium;M;36
Finance;Korea;Level 2-4;1;0.4;0.55;2;267;4;0;0;0;medium;M;55
Human Resources;Colombia;Level 2-4;1;0.4;0.55;3;195;3;0;0;0;medium;M;64
IT;Turkey;Level 2-4;1;0.4;0.55;3;134;3;1;0;0;low;F;10
Warehouse;China;Level 2-4;0;0.4;0.55;2;270;3;0;0;0;medium;M;31
Operations;China;Level 2-4;1;0.4;0.55;3;179;3;0;0;0;medium;F;32
Sales;US;Level 2-4;0;0.4;0.55;4;220;2;0;0;0;medium;F;7
Finance;France;Level 2-4;0;0.4;0.55;3;170;3;0;0;0;medium;M;22
Human Resources;Korea;Level 2-4;1;0.4;0.55;3;191;3;0;0;0;high;M;13
IT;UK;Level 2-4;1;0.4;0.55;4;200;3;1;0;0;low;F;60
Warehouse;Colombia;Level 2-4;1;0.4;0.55;3;225;4;1;0;0;medium;M;53
Operations;Colombia;Level 2-4;1;0.4;0.55;3;225;2;0;0;0;low;F;5
Sales;Colombia;Level 2-4;0;0.4;0.55;4;186;4;1;0;0;medium;F;1
Finance;UK;Level 2-4;0;0.4;0.55;4;178;2;1;0;0;low;M;15
Human Resources;Korea;Level 2-4;0;0.4;0.55;3;199;2;1;0;0;medium;M;12
IT;UK;Level 2-4;0;0.4;0.55;6;240;6;0;0;0;low;M;52
Warehouse;China;Level 2-4;0;0.4;0.55;3;143;3;0;0;0;low;F;43
Operations;China;Level 2-4;0;0.4;0.55;4;217;8;0;0;0;medium;F;34
Sales;Australia;Level 2-4;0;0.4;0.55;4;206;2;0;0;0;low;M;32
Finance;China;Level 2-4;0;0.4;0.55;4;197;3;0;0;0;high;F;61
Human Resources;Australia;Level 2-4;0;0.4;0.55;3;172;2;0;0;0;medium;F;58
IT;France;Level 2-4;1;0.4;0.55;5;212;6;0;0;0;high;M;18
Warehouse;Korea;Level 2-4;0;0.4;0.55;2;102;7;0;0;1;medium;M;34
Operations;UK;Level 2-4;1;0.4;0.55;3;166;6;1;0;0;medium;M;51
Sales;France;Level 2-4;1;0.4;0.55;4;215;2;0;0;0;low;M;57
Finance;Australia;Level 2-4;0;0.4;0.55;5;251;10;0;0;0;high;F;44
Human Resources;Japan;Level 2-4;0;0.4;0.55;3;164;3;0;0;0;medium;F;13
IT;France;Level 2-4;1;0.4;0.55;4;177;8;0;0;0;low;F;44
Warehouse;US;Level 2-4;1;0.4;0.55;3;156;5;0;0;0;low;F;17
Operations;UK;Level 2-4;1;0.4;0.55;3;271;7;0;0;0;medium;M;38
Sales;France;Level 2-4;0;0.4;0.55;3;246;2;0;0;1;high;M;22
Finance;Turkey;Level 2-4;0;0.4;0.55;4;262;3;0;0;0;low;F;57
Human Resources;Korea;Level 2-4;1;0.4;0.55;4;194;3;0;0;0;low;F;6
IT;Australia;Level 2-4;1;0.4;0.55;3;217;3;0;0;0;medium;M;28
Warehouse;Australia;Level 2-4;1;0.4;0.55;4;159;2;0;0;0;medium;M;44
Operations;UK;Level 2-4;0;0.4;0.55;5;174;3;1;0;0;medium;F;22
Sales;China;Level 2-4;0;0.4;0.55;3;259;10;1;0;1;high;F;30
Finance;Korea;Level 2-4;0;0.4;0.55;2;148;3;0;1;0;low;M;37
Human Resources;UK;Level 2-4;1;0.4;0.55;2;147;3;0;1;0;low;F;15
IT;Korea;Level 1;1;0.4;0.55;2;140;3;0;1;0;low;F;18
Warehouse;UK;Level 1;1;0.4;0.55;2;147;3;0;1;0;low;M;12
Operations;Turkey;Level 1;1;0.4;0.55;2;135;3;0;1;0;low;F;44
Sales;China;Level 1;0;0.4;0.55;2;134;3;0;1;0;low;F;23
Finance;Japan;Level 1;1;0.4;0.55;2;129;3;0;1;0;low;F;5
Human Resources;China;Level 1;0;0.4;0.55;2;129;3;0;1;0;low;F;58
IT;Australia;Level 1;1;0.4;0.55;2;141;3;0;1;0;medium;M;64
Warehouse;Colombia;Level 1;0;0.4;0.55;2;152;3;0;1;0;medium;F;35
Operations;Australia;Level 1;0;0.4;0.55;2;156;3;0;1;0;medium;F;11
Sales;Colombia;Level 1;1;0.4;0.55;2;151;3;0;1;0;medium;F;61
Finance;China;Level 1;0;0.4;0.55;2;127;3;0;1;0;medium;F;19
Human Resources;Korea;Level 1;0;0.4;0.55;2;154;3;0;1;0;low;M;51
IT;Turkey;Level 1;0;0.4;0.55;2;148;3;0;1;0;low;M;31
Warehouse;UK;Level 1;1;0.4;0.55;2;158;3;0;1;0;low;F;24
Operations;Japan;Level 1;1;0.4;0.55;2;136;3;0;1;0;low;F;56
Sales;China;Level 1;1;0.4;0.55;2;159;3;0;1;0;high;F;13
Finance;Japan;Level 1;0;0.4;0.55;2;148;3;0;1;0;low;F;33
Human Resources;US;Level 1;1;0.4;0.55;2;247;4;0;1;0;medium;F;60
IT;France;Level 1;1;0.4;0.55;2;130;3;0;1;0;high;M;42
Warehouse;US;Level 1;0;0.4;0.55;2;159;3;0;1;0;low;F;19
Operations;Australia;Level 1;1;0.4;0.55;2;151;3;0;1;0;low;M;57
Sales;Colombia;Level 1;1;0.4;0.55;2;151;3;0;1;0;low;F;18
Finance;Australia;Level 1;1;0.4;0.55;3;170;3;0;0;0;medium;M;41
Human Resources;France;Level 1;1;0.4;0.55;3;191;3;0;0;0;high;M;37
IT;France;Level 1;0;0.4;0.55;4;200;3;1;0;0;low;F;29
Warehouse;US;Level 1;1;0.4;0.55;3;225;4;1;0;0;medium;F;59
Operations;France;Level 1;0;0.4;0.55;3;225;2;0;0;0;low;F;53
Sales;Colombia;Level 1;1;0.4;0.55;4;186;4;1;0;0;medium;F;38
Finance;US;Level 1;1;0.4;0.55;4;178;2;1;0;0;low;F;11
Human Resources;Colombia;Level 1;0;0.4;0.55;3;199;2;1;0;0;medium;F;59
IT;Australia;VP;0;0.4;0.55;6;240;6;0;0;0;low;F;52
Warehouse;Turkey;Senior Director;0;0.4;0.55;3;143;3;0;0;0;low;M;47
Operations;France;Senior Director;1;0.4;0.55;4;217;8;0;0;0;medium;F;43
Sales;France;Senior Director;0;0.4;0.55;4;206;2;0;0;0;low;M;6
Finance;France;Director;0;0.4;0.55;4;197;3;0;0;0;high;F;46
Human Resources;Colombia;Director;0;0.4;0.55;3;172;2;0;0;0;medium;M;38
IT;US;Director;1;0.4;0.55;5;212;6;0;0;0;high;M;19
Warehouse;China;Director;0;0.4;0.55;2;102;7;0;0;1;medium;M;37
Operations;France;Director;0;0.4;0.55;3;166;6;1;0;0;medium;F;25
Sales;China;Director;0;0.4;0.55;4;215;2;0;0;0;low;M;43
Finance;Korea;Senior Manager;1;0.4;0.55;5;251;10;0;0;0;high;M;64
Human Resources;Korea;Senior Manager;1;0.4;0.55;3;164;3;0;0;0;medium;F;26
IT;US;Senior Manager;0;0.4;0.55;4;177;8;0;0;0;low;F;44
Warehouse;Japan;Senior Manager;0;0.4;0.55;3;156;5;0;0;0;low;M;46
Operations;UK;Senior Manager;1;0.4;0.55;3;271;7;0;0;0;medium;F;47
Sales;Korea;Senior Manager;1;0.4;0.55;3;246;2;0;0;1;high;F;4
Finance;Turkey;Senior Manager;1;0.4;0.55;4;262;3;0;0;0;low;F;27
Human Resources;US;Senior Manager;1;0.4;0.55;4;194;3;0;0;0;low;M;27
IT;China;Senior Manager;1;0.4;0.55;3;217;3;0;0;0;medium;M;57
Warehouse;Australia;Senior Manager;0;0.4;0.55;4;159;2;0;0;0;medium;M;36
Operations;UK;Senior Manager;0;0.4;0.55;5;174;3;1;0;0;medium;F;1
Sales;Colombia;Senior Manager;0;0.4;0.55;3;259;10;1;0;1;high;M;56
Finance;Colombia;Manager;0;0.4;0.55;2;148;3;0;1;0;low;F;58
Human Resources;UK;Manager;1;0.4;0.55;2;147;3;0;1;0;low;F;57
IT;UK;Manager;0;0.4;0.55;2;140;3;0;1;0;low;M;17
Warehouse;Australia;Manager;1;0.4;0.55;2;147;3;0;1;0;low;M;15
Operations;Colombia;Manager;0;0.4;0.55;2;135;3;0;1;0;low;F;64
Sales;Colombia;Manager;1;0.4;0.55;2;134;3;0;1;0;low;M;26
Finance;China;Manager;0;0.4;0.55;2;129;3;0;1;0;low;F;54
Human Resources;US;Manager;1;0.4;0.55;2;129;3;0;1;0;low;F;28
IT;Colombia;Manager;1;0.4;0.55;2;141;3;0;1;0;medium;F;28
Warehouse;Colombia;Manager;0;0.4;0.55;2;152;3;0;1;0;medium;M;61
Operations;Turkey;Manager;0;0.4;0.55;2;156;3;0;1;0;medium;M;62
Sales;Turkey;Manager;0;0.4;0.55;2;151;3;0;1;0;medium;M;24
Finance;Turkey;Manager;1;0.4;0.55;2;127;3;0;1;0;medium;M;61
Human Resources;Korea;Manager;0;0.4;0.55;2;154;3;0;1;0;low;M;51
IT;Colombia;Manager;0;0.4;0.55;2;148;3;0;1;0;low;M;59
Warehouse;China;Manager;1;0.4;0.55;2;158;3;0;1;0;low;F;25
Operations;Colombia;Manager;1;0.4;0.55;2;136;3;0;1;0;low;F;12
Sales;Turkey;Manager;1;0.4;0.55;2;159;3;0;1;0;high;M;20
Finance;UK;Manager;0;0.4;0.55;2;148;3;0;1;0;low;M;47
Human Resources;UK;Manager;1;0.4;0.55;2;247;4;0;1;0;medium;M;48
IT;China;Manager;1;0.4;0.55;2;130;3;0;1;0;high;M;52
Warehouse;US;Manager;1;0.4;0.55;2;147;3;0;1;0;medium;F;63
Operations;Australia;Level 2-4;0;0.4;0.55;2;145;3;0;1;0;low;M;31
Sales;Australia;Level 2-4;1;0.4;0.56;2;137;3;0;1;0;low;M;25
Finance;Australia;Level 2-4;0;0.4;0.56;2;132;3;0;1;0;medium;M;58
Human Resources;Turkey;Level 2-4;1;0.4;0.56;2;157;3;0;1;0;low;M;20
IT;Colombia;Level 2-4;0;0.4;0.56;2;142;3;0;1;0;low;M;18
Warehouse;US;Level 2-4;0;0.4;0.56;2;154;3;0;1;0;low;F;47
Operations;China;Level 2-4;0;0.4;0.56;2;149;3;0;1;0;low;M;23
Sales;Japan;Level 2-4;0;0.4;0.56;2;134;3;0;1;0;low;M;23
Finance;France;Level 2-4;1;0.4;0.56;2;131;3;0;1;0;medium;M;53
Human Resources;Turkey;Level 2-4;0;0.4;0.56;2;156;3;0;1;0;low;F;4
IT;Australia;Level 2-4;0;0.4;0.56;3;301;3;0;1;0;low;M;34
Warehouse;US;Level 2-4;0;0.4;0.56;2;148;3;0;1;0;low;M;36
Operations;China;Level 2-4;1;0.4;0.56;2;143;3;0;1;0;medium;F;52
Sales;France;Level 2-4;0;0.4;0.56;2;131;3;0;1;0;low;F;3
Finance;US;Level 2-4;1;0.4;0.56;2;158;3;0;1;0;medium;M;54
Human Resources;Japan;Level 2-4;1;0.4;0.56;4;238;2;0;1;0;medium;M;26
IT;Japan;Level 2-4;0;0.4;0.56;2;133;3;0;1;0;low;F;56
Warehouse;China;Level 2-4;0;0.4;0.56;2;149;3;0;1;0;low;F;14
Operations;Australia;Level 2-4;0;0.4;0.56;4;281;6;0;1;0;medium;M;29
Sales;China;Level 2-4;1;0.4;0.56;2;150;3;0;1;0;low;M;57
Finance;China;Level 2-4;1;0.4;0.56;2;137;3;0;1;0;medium;F;54
Human Resources;Colombia;Level 2-4;0;0.4;0.56;2;156;3;0;1;0;medium;F;34
IT;Colombia;Level 2-4;1;0.4;0.56;2;145;3;0;1;0;medium;M;57
Warehouse;Australia;Level 2-4;0;0.4;0.56;2;154;3;0;1;1;medium;M;56
Operations;Australia;Level 2-4;0;0.4;0.56;2;161;3;0;1;0;medium;F;63
Sales;Colombia;Level 2-4;0;0.4;0.56;2;154;3;0;1;0;low;F;47
Finance;France;Level 2-4;1;0.4;0.56;2;146;3;0;1;0;medium;F;46
Human Resources;Turkey;Level 2-4;0;0.4;0.56;2;143;3;0;1;0;medium;M;54
IT;Australia;Level 2-4;1;0.4;0.56;2;138;3;0;1;0;low;F;45
Warehouse;Colombia;Level 2-4;0;0.4;0.56;2;133;3;0;1;0;low;M;55
Operations;Turkey;Level 2-4;0;0.4;0.56;2;138;3;0;1;0;medium;F;46
Sales;US;Level 2-4;1;0.4;0.56;2;156;3;0;1;0;medium;F;37
Finance;China;Level 2-4;0;0.4;0.56;2;128;3;0;1;0;low;F;63
Human Resources;US;Level 2-4;0;0.4;0.56;2;126;3;0;1;0;low;M;34
IT;Turkey;Level 2-4;0;0.4;0.56;2;134;3;0;1;0;medium;F;36
Warehouse;China;Level 2-4;0;0.4;0.56;3;309;4;1;1;0;low;M;34
Operations;Colombia;Level 2-4;0;0.4;0.56;2;147;3;0;1;0;medium;F;7
Sales;Australia;Level 2-4;0;0.4;0.56;2;136;3;0;1;0;low;F;13
Finance;Colombia;Level 2-4;1;0.4;0.56;2;135;3;0;1;0;low;M;19
Human Resources;UK;Level 2-4;0;0.4;0.56;2;156;3;0;1;0;low;M;22
IT;Turkey;Level 2-4;0;0.4;0.56;4;260;3;0;1;0;medium;M;13
Warehouse;Australia;Level 2-4;1;0.4;0.56;2;158;3;0;1;0;low;M;50
Operations;UK;Level 2-4;1;0.4;0.56;2;143;3;0;1;0;low;F;30
Sales;Australia;Level 2-4;1;0.4;0.56;2;158;3;0;1;0;low;F;65
Finance;UK;Level 2-4;1;0.4;0.56;2;127;3;0;1;0;low;F;13
Human Resources;Colombia;Level 2-4;0;0.4;0.56;2;146;3;0;1;0;low;M;6
IT;Australia;Level 2-4;0;0.4;0.56;2;145;3;0;1;0;low;F;34
Warehouse;China;Level 2-4;0;0.4;0.56;2;148;3;0;1;0;medium;F;57
Operations;France;Level 2-4;1;0.4;0.56;6;149;4;0;1;0;low;M;4
Sales;UK;Level 2-4;1;0.4;0.56;2;143;3;0;1;0;low;M;8
Finance;Turkey;Level 2-4;0;0.4;0.56;2;130;3;0;1;0;medium;M;18
Human Resources;Japan;Level 2-4;1;0.4;0.56;2;159;3;0;1;0;medium;F;14
IT;UK;Level 2-4;0;0.4;0.56;2;142;3;0;1;0;low;F;54
Warehouse;Colombia;Level 2-4;0;0.4;0.56;2;133;3;0;1;0;low;F;10
Operations;US;Level 2-4;0;0.4;0.56;2;160;3;0;1;0;low;F;11
Sales;Colombia;Level 2-4;1;0.4;0.56;2;130;3;1;1;0;medium;F;14
Finance;Turkey;Level 2-4;1;0.4;0.56;2;154;3;0;1;0;low;F;16
Human Resources;Japan;Level 2-4;0;0.4;0.56;2;140;3;0;1;0;medium;F;46
IT;Colombia;Level 2-4;0;0.4;0.56;2;160;3;0;1;0;low;M;54
Warehouse;Korea;Level 2-4;1;0.4;0.56;2;160;3;0;1;0;low;M;10
Operations;China;Level 2-4;1;0.4;0.56;2;133;3;0;1;0;medium;M;12
Sales;US;Level 2-4;1;0.4;0.56;2;133;3;0;1;0;low;M;4
Finance;China;Level 2-4;1;0.4;0.56;2;141;3;0;1;0;low;M;47
Human Resources;China;Level 1;1;0.4;0.56;2;147;3;0;1;0;medium;F;49
IT;Korea;Level 1;0;0.4;0.56;2;129;3;0;1;0;low;M;58
Warehouse;Japan;Level 1;1;0.4;0.56;2;133;3;0;1;0;medium;F;29
Operations;Colombia;Level 1;0;0.4;0.56;2;148;3;0;1;0;medium;M;40
Sales;UK;Level 1;0;0.4;0.56;2;156;3;0;1;0;medium;M;17
Finance;Japan;Level 1;0;0.4;0.56;2;137;3;0;1;0;low;F;36
Human Resources;Japan;Level 1;1;0.4;0.56;5;175;4;0;0;0;low;M;42
IT;France;Level 1;1;0.4;0.56;2;151;3;0;0;0;medium;F;62
Warehouse;Japan;Level 1;1;0.4;0.56;4;270;2;0;0;0;medium;M;27
Operations;Colombia;Level 1;1;0.4;0.56;3;256;3;0;0;0;medium;F;40
Sales;UK;Level 1;0;0.4;0.56;4;176;2;0;0;0;medium;F;14
Finance;Korea;Level 1;1;0.4;0.56;5;231;6;0;0;0;medium;F;36
Human Resources;US;Level 1;1;0.4;0.56;4;158;3;0;0;0;medium;F;23
IT;Turkey;Level 1;1;0.4;0.56;4;178;3;0;0;0;medium;F;11
Warehouse;UK;Level 1;0;0.4;0.56;3;255;3;0;0;0;medium;M;28
Operations;France;Level 1;0;0.4;0.56;4;165;2;0;0;0;low;M;44
Sales;France;Level 1;0;0.4;0.56;5;218;4;1;0;0;medium;F;33
Finance;Korea;Level 1;0;0.4;0.56;6;140;5;0;0;0;medium;F;23
Human Resources;Colombia;Level 1;1;0.4;0.56;4;227;3;0;0;0;low;F;12
IT;Japan;Level 1;0;0.4;0.56;4;248;2;1;0;0;low;M;18
Warehouse;Japan;Level 1;1;0.4;0.56;3;193;3;1;0;0;medium;F;49
Operations;China;Level 1;0;0.4;0.56;3;151;2;0;0;0;low;M;50
Sales;Australia;Level 1;0;0.4;0.56;5;140;2;0;0;0;low;F;24
Finance;US;Level 1;0;0.4;0.56;4;272;3;0;0;0;low;F;55
Human Resources;US;Level 1;1;0.4;0.56;4;113;3;0;0;0;low;M;27
IT;Korea;Level 1;0;0.4;0.56;4;221;3;1;0;0;low;M;2
Warehouse;Japan;Level 1;0;0.4;0.56;2;203;4;0;0;0;low;M;12
Operations;France;Level 1;0;0.4;0.56;3;237;4;0;0;0;medium;M;6
Sales;Colombia;Level 1;0;0.4;0.56;4;230;3;0;0;0;medium;M;14
Finance;Japan;Level 1;0;0.4;0.56;5;185;2;0;0;0;high;M;65
Human Resources;US;VP;1;0.4;0.56;6;205;4;1;0;0;medium;F;45
IT;France;Senior Director;0;0.4;0.56;4;238;4;0;0;0;medium;M;35
Warehouse;Korea;Senior Director;1;0.4;0.56;4;266;2;0;0;0;low;F;62
Operations;Australia;Senior Director;0;0.4;0.56;5;174;2;1;0;0;medium;M;42
Sales;Colombia;Director;0;0.4;0.56;4;214;2;1;0;0;medium;F;49
Finance;US;Director;1;0.4;0.56;6;277;5;0;0;0;medium;F;36
Human Resources;China;Director;0;0.4;0.56;4;225;2;0;0;0;medium;F;63
IT;Korea;Director;1;0.4;0.56;4;195;2;0;0;0;medium;F;57
Warehouse;Colombia;Director;0;0.4;0.56;3;216;3;0;0;0;low;F;65
Operations;US;Director;1;0.4;0.56;6;228;5;0;0;0;medium;M;19
Sales;Colombia;Senior Manager;1;0.4;0.56;3;198;3;0;0;0;medium;F;25
Finance;Colombia;Senior Manager;1;0.4;0.56;5;208;3;0;0;0;medium;M;40
Human Resources;Colombia;Senior Manager;0;0.4;0.56;2;103;3;1;0;0;medium;M;16
IT;Korea;Senior Manager;0;0.4;0.56;2;214;3;1;0;0;low;M;42
Warehouse;China;Senior Manager;0;0.4;0.56;3;224;2;0;0;0;high;M;8
Operations;Colombia;Senior Manager;1;0.4;0.56;4;274;5;1;0;0;low;F;1
Sales;Australia;Senior Manager;1;0.4;0.56;3;164;3;0;0;0;medium;F;43
Finance;Turkey;Senior Manager;1;0.4;0.56;4;260;3;0;0;0;high;F;18
Human Resources;Japan;Senior Manager;0;0.4;0.56;4;182;2;0;0;0;low;F;7
IT;UK;Senior Manager;1;0.4;0.56;3;154;2;0;0;0;low;F;8
Warehouse;Australia;Senior Manager;1;0.4;0.56;5;197;2;1;0;0;medium;F;28
Operations;Colombia;Senior Manager;0;0.4;0.56;5;188;3;0;0;0;medium;M;14
Sales;Colombia;Manager;1;0.4;0.56;3;266;2;0;0;0;low;F;16
Finance;Colombia;Manager;0;0.4;0.56;4;251;4;0;0;0;medium;F;37
Human Resources;Colombia;Manager;0;0.4;0.56;4;228;3;0;0;0;low;M;32
IT;France;Manager;1;0.4;0.56;4;121;2;0;0;1;medium;M;18
Warehouse;UK;Manager;0;0.4;0.56;3;220;3;0;0;0;low;F;5
Operations;Australia;Manager;0;0.4;0.56;4;247;3;0;0;1;high;F;37
Sales;Korea;Manager;0;0.4;0.56;4;260;6;0;0;0;low;F;52
Finance;UK;Manager;0;0.4;0.56;3;157;2;0;0;0;low;F;31
Human Resources;France;Manager;1;0.4;0.56;5;286;4;0;0;0;medium;F;9
IT;Japan;Manager;1;0.4;0.56;5;194;2;0;0;0;high;M;13
Warehouse;China;Manager;0;0.4;0.56;6;128;4;0;0;0;medium;M;42
Operations;Turkey;Manager;0;0.4;0.56;4;138;3;0;0;0;low;M;49
Sales;Australia;Manager;1;0.4;0.56;4;170;3;0;0;0;medium;M;51
Finance;Colombia;Manager;0;0.4;0.56;3;191;3;0;0;0;medium;F;42
Human Resources;Korea;Manager;1;0.4;0.56;4;107;6;0;0;0;medium;F;29
IT;Colombia;Manager;1;0.4;0.56;5;250;2;1;0;1;medium;F;55
Warehouse;Japan;Manager;0;0.4;0.56;2;159;3;0;0;0;high;F;17
Operations;Turkey;Manager;0;0.4;0.56;4;141;4;0;0;0;medium;F;35
Sales;Turkey;Manager;0;0.4;0.56;4;269;3;0;0;0;low;M;44
Finance;China;Manager;0;0.4;0.56;5;180;3;0;0;0;medium;F;50
Human Resources;Colombia;Manager;1;0.4;0.56;3;168;2;0;0;0;medium;M;12
IT;UK;Manager;1;0.4;0.56;3;187;3;0;0;0;medium;F;5
Warehouse;France;Level 2-4;1;0.4;0.56;3;259;3;0;0;0;medium;F;51
Operations;Japan;Level 2-4;1;0.4;0.56;5;203;3;0;0;0;high;F;29
Sales;UK;Level 2-4;0;0.4;0.56;5;252;2;0;0;0;high;M;27
Finance;Turkey;Level 2-4;1;0.4;0.56;5;181;6;0;0;0;medium;F;29
Human Resources;China;Level 2-4;0;0.4;0.56;3;183;4;1;0;0;low;F;34
IT;Australia;Level 2-4;1;0.4;0.56;3;203;3;0;0;0;low;F;3
Warehouse;Japan;Level 2-4;1;0.4;0.56;3;169;2;1;0;0;medium;M;59
Operations;Colombia;Level 2-4;0;0.4;0.56;3;146;3;0;0;0;low;F;57
Sales;China;Level 2-4;1;0.4;0.56;5;237;3;0;0;0;low;F;59
Finance;France;Level 2-4;1;0.4;0.56;4;165;3;0;0;0;medium;F;5
Human Resources;UK;Level 2-4;1;0.4;0.56;4;159;3;0;0;0;medium;M;34
IT;France;Level 2-4;1;0.4;0.56;3;217;5;0;0;0;medium;F;16
Warehouse;US;Level 2-4;0;0.4;0.56;2;212;2;0;0;0;medium;F;45
Operations;Japan;Level 2-4;1;0.4;0.56;5;97;6;0;0;0;low;M;21
Sales;China;Level 2-4;1;0.4;0.56;3;162;2;0;0;0;high;F;7
Finance;France;Level 2-4;0;0.4;0.56;2;214;2;0;0;0;low;F;36
Human Resources;Australia;Level 2-4;0;0.4;0.56;6;196;3;0;0;0;medium;M;11
IT;UK;Level 2-4;1;0.4;0.56;5;141;2;0;0;0;medium;F;62
Warehouse;France;Level 2-4;0;0.4;0.56;3;139;2;0;0;0;medium;F;4
Operations;France;Level 2-4;1;0.4;0.56;5;229;4;1;0;0;low;M;57
Sales;UK;Level 2-4;0;0.4;0.56;5;210;2;0;0;0;medium;M;47
